%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869378627056870,7289,1580869378625844955,,0.1807,0.0018,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378652326795,7290,1580869378650731086,,0.1846,0.0057,0.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378677794638,7291,1580869378676723957,,0.1872,0.0016,0.5042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378702305832,7292,1580869378701231956,,0.182,0.0017,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378727259840,7293,1580869378725888013,,0.1884,0.0002,0.4906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378751828041,7294,1580869378750721931,,0.1872,0.0069,0.4815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378776647242,7295,1580869378775641918,,0.1923,0.0001,0.4832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378801656358,7296,1580869378800652027,,0.1937,0.008,0.4802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378826480087,7297,1580869378825491905,,0.1872,0.0042,0.4769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378852283050,7298,1580869378851043939,,0.1936,-0.004,0.4802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378876589348,7299,1580869378875560045,,0.1897,-0.0025,0.4831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378902485864,7300,1580869378901391029,,0.1897,-0.0012,0.4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378926692176,7301,1580869378925580024,,0.1923,0.0001,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378951647752,7302,1580869378950546979,,0.1858,0.0003,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869378977151996,7303,1580869378975974082,,0.1924,0.0081,0.4832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379002042427,7304,1580869379001411914,,0.191,0.0001,0.4832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379026697271,7305,1580869379025593042,,0.1871,-0.0011,0.4845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379052924001,7306,1580869379051610946,,0.1923,-0.0053,0.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379076461330,7307,1580869379075416088,,0.1923,-0.0053,0.4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379102639143,7308,1580869379101479053,,0.1871,0.0002,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379127373808,7309,1580869379126283884,,0.1819,-0.0036,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379152602956,7310,1580869379151520013,,0.1846,0.007,0.5056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379176739123,7311,1580869379175677061,,0.1833,0.0004,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379202360813,7312,1580869379201313972,,0.1845,-0.0024,0.5026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
